id,light,fdist,sdist
1,off,0,0
2,off,1,0
3,off,2,0
4,off,3,0
5,off,4,0
6,off,5,0
7,off,6,0
8,off,6,-2
9,off,5,-2
10,off,4,-2
11,off,3,-2
12,off,3,2
13,off,4,2
14,off,5,2
15,off,5,2
16,on,0,0
17,on,1,0
18,on,2,0
19,on,3,0
20,on,4,0
21,on,5,0
22,on,6,0
23,on,6,-2
24,on,5,-2
25,on,4,-2
26,on,3,-2
27,on,3,2
28,on,4,2
29,on,5,2
30,on,6,2
